accept,suggested_website,id,name,operator,calc_postcode_district,calc_postcode_area,addr_housenumber,addr_street,addr_city,confidence,notes,,
0,https://mapstr.com/place/ndkYCfNqUcg/lounge-bohemia-london-bar-cocktail-drink-cocktails-drinks,node/371583850,Bohemia Bar,,E1,E,1,Great Eastern Street,London,0.9,"openai:The URL clearly references Lounge Bohemia at 1 Great Eastern Street, London, matching the pub's address and name closely with strong geographic evidence.;loc_ok=near_coords",,
0,https://petticoatlane.london/vendor/grapeshots/,way/107796329,Grapeshots,,E1,E,2-3,Artillery Passage,London,0.9,"openai:URL clearly mentions Grapeshots at 2-3 Artillery Lane, London E1 7LJ matching the pub's address and name, indicating a relevant vendor page likely representing the pub.;loc_ok=district+address",,
0,https://pubology.co.uk/pubs/2414.html,way/369188797,Hungerford Arms,,E1,E,240,Commercial Road,London,0.9,"openai:The URL clearly references Hungerford Arms at 240 Commercial Road with matching address and district E1, and has strong page evidence and geo bonus scores. It appears to be a dedicated pub information site rather than an aggregator or social network.;loc_ok=near_coords",,
1,https://www.kingsstores.co.uk/,way/163644475,Kings Stores,,E1,E,14,Widegate Street,London,0.95,"openai:The URL https://www.kingsstores.co.uk/ matches the pub name and address (14 Widegate Street, London E1 7HP) exactly, with strong page evidence and geo bonus. It appears to be the official website rather than an aggregator or unrelated site.;loc_ok=near_coords",,
1,https://www.theknaveofclubs.co.uk/,0d5652fd-a487-4213-991e-50f5fb86c290,Knave of Clubs,Independent,E1,E,,,,0.95,"openai:The URL is the official website of the Knave of Clubs pub, explicitly mentioning the exact address (25 Bethnal Green Road, London E1 6HT) matching the E1 district and close coordinates. It is clearly the pub's own site, not an aggregator or social network.;loc_ok=near_coords",,
1,https://www.londonhospitaltavern.com/,node/48928595,London Hospital Tavern,,E1,E,176,Whitechapel Road,London,0.95,"openai:The URL is an exact match to the pub's name and the page snippet mentions the location opposite Whitechapel station, consistent with the given address on Whitechapel Road. It appears to be the official website.;loc_ok=address_tokens",,
1,https://91bricklane.pub/,way/270424950,Ninety One,,E1,E,91,Brick Lane,London,0.95,"openai:The URL https://91bricklane.pub/ matches the pub name 'Ninety One' and the address '91 Brick Lane' exactly, with a strong snippet confirming it is the local pub at that location. Other candidates are either aggregators or event sites without direct official pub website evidence.;loc_ok=district+address",,
1,https://theprideofspitalfieldslondon.shop/,way/236653740,Pride of Spitalfields,,E1,E,3,Heneage Street,London,0.9,"openai:The URL and page snippet clearly identify the pub by name and location near Brick Lane, matching the East London area. It appears to be a dedicated site for the pub, unlike aggregators or general listings. The .shop domain and content suggest a direct pub site rather than a third-party or social network.;loc_ok=district+address",,
1,https://www.princessofprussia.co.uk/,way/107275360,Princess Of Prussia,Shepherd Neame,E1,E,15,Prescot Street,London,0.95,"openai:The URL is the official website for the Princess of Prussia pub in London, explicitly mentioning the address 15 Prescot Street, matching the given pub address and operator Shepherd Neame.;loc_ok=district+address",,
1,https://www.sohohouse.com/houses/shoreditch-house,node/371520154,Shoreditch House,,E1,E,,Ebor Street,London,0.95,"openai:Official Soho House site for Shoreditch House, matches pub name and known operator, high relevance and no conflicting location data.;loc_ok=address_tokens",,
