calc_postcode_district,calc_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,photo_url1,photo_url2,photo_url3,photo_url4,photo_url5,founded,description,has_pub_garden,has_live_music,has_food_available,has_dog_friendly,has_pool_darts,has_accommodation,addr_housenumber,addr_street,phone,website,wikidata,opening_hours,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,opening_hours_e,opening_hours_f,conf_description,conf_phone,conf_founded,conf_operator,conf_has_pub_garden,conf_has_live_music,has_live_sport_tv,conf_has_live_sport_tv,conf_has_food_available,conf_has_dog_friendly,conf_has_pool_darts,conf_has_accommodation,fc_status,fc_error,fc_quality_flags,fc_quality_note,,fcs_status,fcs_error,fcs_query,fcs_source_url,fcs_source_title,fcs_website_guess,fcs_website_conf,fcs_quality_flags,fcs_quality_note,
E1,E,node,7039559892,node/7039559892,51.5137054,-0.0707311,Black Horse,,,,,,,,"Black Horse (now called Cappall Dubh) is a pub in Aldgate, London, open every day from 11am to 1am. The page highlights its fresh energy at the same location and points visitors to an Events page for a full lineup. It also mentions functions and parties, with space for birthdays, work dos and other gatherings. The venue is described as having sports on TV, a dartboard, and great music, with examples of ticketed events listed in the “Upcoming Events” section.",,,,,,,40,Leman Street,+44 20 7488 1406,https://blackhorselondon.co.uk/,,Mo-Sa 12:00-23:29,,,,,,,0.78,0,0,0,0,0,,0.62,0,0,0.55,0,ok,,,,,,,,,,,,,,
E1,E,node,10245706076,node/10245706076,51.520961,-0.0724088,Brick Lane Taproom,,,,,,,,,,,,,,,,Brick Lane,,https://www.bricklanetaproom.co.uk/,,,,,,,,,0.55,0,0,0.35,0,0,,0,0,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,157322970,way/157322970,51.52165,-0.0756836,Commercial Tavern,Urban Pubs & Bars,https://commons.wikimedia.org/wiki/Special:FilePath/Commercial_Tavern%2C_Spitalfields%2C_E1_(2417457038).jpg,,,,,,"Commercial Tavern is a Victorian corner pub in Spitalfields (142–144 Commercial Street, London E1 6NU) with large windows and eccentric decoration. It features an upstairs cocktail bar with velvet booths and curated playlists. The venue focuses on rotating craft beers, expertly mixed cocktails, and a burger offering from Meat Stop, described as dry-aged British beef with house-made sauces. The page also highlights “Games” and a “hidden Fitzrovia favourite” vibe for the cocktail bar, making it suitable for dates and discreet meetups.",,,TRUE,,,,142,Commercial Street,+44 20 3137 9563,https://www.urbanpubsandbars.com/venues/commercial-tavern,Q26318314,Mo-Sa 12:00-23:00, Su 12:00-22:30,,,,,,0.9,0.95,0,0.35,0,0,,0,0.9,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,260681370,way/260681370,51.5127038,-0.0669009,Dog & Truck,Stonegate,,,,,,,"Set on Back Church Lane in East London, this long-running boozer is known for a strong line-up of local beers and proper pub food—especially Pie Minister pies. Expect a friendly, no-fuss atmosphere with space for meetings or celebrations, plus a quiz night for regular fun. There are two beer gardens for warmer days, and you can settle in with board games as well as a welcoming crowd. A classic local spot with a bit of character and plenty to keep you there after the first pint.",TRUE,,TRUE,,,,72,Back Church Lane,,https://www.dogandtruckaldgate.co.uk/,,,,,,,,,0.78,0,0.55,0.62,0.9,0,,0,0.9,0.35,0.45,0,,,,,,ok,,"""Dog & Truck"" 72 Back Church Lane London pub",https://www.pubology.co.uk/pubs/2362.html,Dog and Truck: London Pubology,https://www.dogandtruckaldgate.co.uk/,0.9,,,
E1,E,node,295979629,node/295979629,51.513604,-0.0737842,Duke of Somerset,Stonegate,,,,,,,"Duke Of Somerset London is a city pub with decadent decor and a large external beer garden. It offers a great range of craft beers and premium spirits, including an extensive gin range, plus a cocktail menu. The venue is well set up for sport viewing, with 14 internal TVs and external viewing, and it lists Sky Sports and TNT Sports with HD screens. Facilities include Wi‑Fi and accessible toilets, and there’s a dartboard. Live music is listed, and children are welcome with a family policy of no children after 7pm on Thursday and Friday nights.",TRUE,TRUE,TRUE,,TRUE,,15,Little Somerset Street,,https://www.socialpubandkitchen.co.uk/duke-of-somerset-aldgate-london,,,,,,,,,0.86,0,0,0,0.95,0.9,TRUE,0.95,0.9,0,0.85,0,ok,,,,,,,,,,,,,,
E1,E,node,858431027,node/858431027,51.517868,-0.07459,Duke of Wellington,,,,,,,,The Duke of Wellington at 12 Toynbee Street (E17NE) is promoting “game nights” and big-screen football viewing. The page highlights FIFA World Cup fixtures and encourages visitors to come with a pint for non-stop football action. There’s also a booking contact email shown for booking inquiries.,,,,,,,12-14,Toynbee Street,,https://www.duke.london/,,,,,,,,,0.78,0,0,0,0,0,TRUE,0.92,0,0,0,0,ok,,,,,,,,,,,,,,
E1,E,node,12529152052,node/12529152052,51.511524,-0.0727234,Goodman's Field,Wetherspoon,https://commons.wikimedia.org/wiki/Special:FilePath/The_Goodman's_Field_2025-10-09.jpg,,,,,,"The Goodman’s Field is a Wetherspoon pub in 87–91 Mansell Street, Tower Hamlets, London. It’s open daily from 8:00am until 11:00pm, with children under 18 only allowed on the premises between 8:00am and 10:00pm. Facilities include Wi‑Fi, TV screens and a licensed outside deck area, plus step-free access. The pub offers children’s meals (including pizzas) for £4.99 and £5.75, served with a drink and fruit. The page also includes a detailed local history of the surrounding land and mentions guest ale and craft tasting notes, along with a range of spritz cocktails.",TRUE,,TRUE,,,,87-91,Mansell Street,+44-20-7680-2850,https://www.jdwetherspoon.com/pubs/the-goodmans-field-tower-hamlets/,Q88973874,,,,,,,,0.86,0.98,0,0.72,0.9,0,,0,0.9,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,107796329,way/107796329,51.5180737,-0.0775591,Grapeshots,,,,,,,,"Grapeshots is a popular local wine bar tucked away down a narrow Victorian passage near Liverpool Street. It has a warm, cosy atmosphere with wood panelling and candlelit tables, plus antique curiosities and historic wine artefacts collected over decades. Guests can enjoy a diverse wine list and an interesting selection of craft beers, alongside modern British cooking on the food menu using seasonal ingredients that are UK and, where possible, locally sourced. The downstairs dining area suits group dining and drinks parties, and the venue can be hired for private events. It also hosts wine tastings and live music as part of its upcoming events.",,,TRUE,,,,2-3,Artillery Passage,020 7247 8215,https://www.davy.co.uk/wine-bar/grapeshots/,,,,,,,,,0.93,0.98,0,0.55,0,0.35,,0,0.95,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,369188797,way/369188797,51.5144103,-0.0579821,Hungerford Arms,,,,,,,,,,,,,,,240,Commercial Road,,,,Mo-Sa 10:00-23:30, Su 11:00-23:00,,,,,,0.72,0,0.55,0.45,0,0,,0,0,0,0,0,,,,,,ok,,"""Hungerford Arms"" 240 Commercial Road London pub",https://www.facebook.com/groups/mylondonpubs/posts/643719504474262/,"The Hungerford Arms 240 Commercial Rd, London E1 2NB",,0,,,
E1,E,way,163644475,way/163644475,51.5179988,-0.0778223,Kings Stores,,,,,,,,"The Kings Stores is a vibrant, “hidden gem” pub in Whitechapel, nestled between the City and Spitalfields market. It has a diverse crowd and offers a lively World Cup atmosphere, with Sky Sports and TNT Sports. The venue serves a la carte dining and pub classics such as fish and chips, plus small plates and sharing dishes. There are private rooms for parties, meetings and get-togethers, each with its own private bar. Facilities include disabled access, family friendly features, WiFi, and functions. The page also promotes a Spring–Summer menu and Friday Prosecco offers.",,,TRUE,,,,14,Widegate Street,,https://www.kingsstores.co.uk/,,,,,,,,,0.9,0,0,0,0,0,TRUE,0.95,0.95,0,0,0,ok,,,,,,,,,,,,,,
E1,E,supabase,,0d5652fd-a487-4213-991e-50f5fb86c290,51.524,-0.074194,Knave of Clubs,Independent,,,,,,1880,"The Knave of Clubs is a historic East End pub on the corner of Bethnal Green Road and Club Row, brought back to life after being closed for 30 years. It’s open daily and serves Guinness alongside oysters and rotisserie chicken, with food available all day. The pub offers beers, wine and cocktails, and reservations are available online with walk-ins welcome. The venue also features One Club Row above the pub, inspired by New York taverns and Paris bistros, with long lunches, late dinners, dining at the bar, people watching, and two private dining rooms for parties.",,,TRUE,,,,,,,https://www.theknaveofclubs.co.uk/,,,,,,,,,0.93,0,0.9,0,0,0,,0,0.95,0,0,0,ok,,,,,,,,,,,,,,
